API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:16:47 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:30:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461134.645833333, A.D. 2026-Apr-04 03:30:00.0000, -9.844234222154948E+04, -1.995285838161692E+05, -1.887669268746622E+04, -2.948510439813826E-01, -1.318501505460007E+00, -1.184308884598855E-01,
2461134.666666667, A.D. 2026-Apr-04 04:00:00.0000, -9.896755330420838E+04, -2.018903846049000E+05, -1.908878453575677E+04, -2.887447273790374E-01, -1.305763533481639E+00, -1.172308270081105E-01,
2461134.687500000, A.D. 2026-Apr-04 04:30:00.0000, -9.948192148582022E+04, -2.042294805486065E+05, -1.929873815328475E+04, -2.828021691189865E-01, -1.293272266690591E+00, -1.160549150862282E-01,
2461134.708333333, A.D. 2026-Apr-04 05:00:00.0000, -9.998573514960919E+04, -2.065463070618768E+05, -1.950659615411588E+04, -2.770163527800513E-01, -1.281018178730379E+00, -1.149022116567299E-01,
2461134.729166667, A.D. 2026-Apr-04 05:30:00.0000, -1.004792704408380E+05, -2.088412828863184E+05, -1.971239950618311E+04, -2.713806913372372E-01, -1.268992264033372E+00, -1.137718280712030E-01,
2461134.750000000, A.D. 2026-Apr-04 06:00:00.0000, -1.009627920098582E+05, -2.111148109944828E+05, -1.991618762218227E+04, -2.658889945116699E-01, -1.257186001155110E+00, -1.126629243434254E-01,
2461134.770833333, A.D. 2026-Apr-04 06:30:00.0000, -1.014365536991450E+05, -2.133672794306673E+05, -2.011799844405618E+04, -2.605354391232157E-01, -1.245591319247443E+00, -1.115747057472271E-01,
2461134.791666667, A.D. 2026-Apr-04 07:00:00.0000, -1.019007991794351E+05, -2.155990620939520E+05, -2.031786852161813E+04, -2.553145421344941E-01, -1.234200567352247E+00, -1.105064197025764E-01,
2461134.812500000, A.D. 2026-Apr-04 07:30:00.0000, -1.023557625395389E+05, -2.178105194682947E+05, -2.051583308581068E+04, -2.502211360935567E-01, -1.223006486241842E+00, -1.094573529220881E-01,
2461134.833333333, A.D. 2026-Apr-04 08:00:00.0000, -1.028016688339325E+05, -2.200019993040363E+05, -2.071192611704621E+04, -2.452503467369924E-01, -1.212002182549197E+00, -1.084268287973850E-01,
2461134.854166667, A.D. 2026-Apr-04 08:30:00.0000, -1.032387345918056E+05, -2.221738372547479E+05, -2.090618040903247E+04, -2.403975725295422E-01, -1.201181104982439E+00, -1.074142049928717E-01,
