API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:30:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Mar-28 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-15 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461129.333333333, A.D. 2026-Mar-29 20:00:00.0000, -3.308918152645798E+05,  1.920689318800551E+05,  5.187269253604754E+03, -5.473285153180099E-01, -8.665114912061784E-01, -9.189261796868037E-02,
2461129.375000000, A.D. 2026-Mar-29 21:00:00.0000, -3.328468710976210E+05,  1.889404933069593E+05,  4.856217643842945E+03, -5.388067802542815E-01, -8.714955271466114E-01, -9.202348242367120E-02,
2461129.416666667, A.D. 2026-Mar-29 22:00:00.0000, -3.347711754187064E+05,  1.857942680234006E+05,  4.524710692831373E+03, -5.302444921418638E-01, -8.763929477454058E-01, -9.214558634361392E-02,
2461129.458333333, A.D. 2026-Mar-29 23:00:00.0000, -3.366645838589597E+05,  1.826305683708984E+05,  4.192779927021038E+03, -5.216425523283890E-01, -8.812034622480909E-01, -9.225893624917014E-02,
2461129.500000000, A.D. 2026-Mar-30 00:00:00.0000, -3.385269552962522E+05,  1.794497077201055E+05,  3.860456847819514E+03, -5.130018631969944E-01, -8.859267896666326E-01, -9.236353953179532E-02,
2461129.541666667, A.D. 2026-Mar-30 01:00:00.0000, -3.403581518587360E+05,  1.762520004356692E+05,  3.527772928465085E+03, -5.043233280578504E-01, -8.905626587677984E-01, -9.245940444896711E-02,
2461129.583333333, A.D. 2026-Mar-30 02:00:00.0000, -3.421580389279858E+05,  1.730377618411369E+05,  3.194759610917397E+03, -4.956078510399354E-01, -8.951108080602904E-01, -9.254654011931784E-02,
2461129.625000000, A.D. 2026-Mar-30 03:00:00.0000, -3.439264851417526E+05,  1.698073081839102E+05,  2.861448302766425E+03, -4.868563369830676E-01, -8.995709857806420E-01, -9.262495651767055E-02,
2461129.666666667, A.D. 2026-Mar-30 04:00:00.0000, -3.456633623963288E+05,  1.665609566002518E+05,  2.527870374159269E+03, -4.780696913302169E-01, -9.039429498778770E-01, -9.269466446997787E-02,
2461129.708333333, A.D. 2026-Mar-30 05:00:00.0000, -3.473685458485259E+05,  1.632990250803504E+05,  2.194057154745169E+03, -4.692488200201040E-01, -9.082264679969259E-01, -9.275567564816523E-02,
2461129.750000000, A.D. 2026-Mar-30 06:00:00.0000, -3.490419139172665E+05,  1.600218324334465E+05,  1.860039930639650E+03, -4.603946293801114E-01, -9.124213174607949E-01, -9.280800256487926E-02,
2461129.791666667, A.D. 2026-Mar-30 07:00:00.0000, -3.506833482847910E+05,  1.567296982530261E+05,  1.525849941407396E+03, -4.515080260195177E-01, -9.165272852514880E-01, -9.285165856813898E-02,
2461129.833333333, A.D. 2026-Mar-30 08:00:00.0000, -3.522927338974812E+05,  1.534229428820835E+05,  1.191518377064640E+03, -4.425899167230751E-01, -9.205441679896746E-01, -9.288665783589395E-02,
2461129.875000000, A.D. 2026-Mar-30 09:00:00.0000, -3.538699589663006E+05,  1.501018873784619E+05,  8.570763751014892E+02, -4.336412083449476E-01, -9.244717719131069E-01, -9.291301537048713E-02,
2461129.916666667, A.D. 2026-Mar-30 10:00:00.0000, -3.554149149668539E+05,  1.467668534802713E+05,  5.225550175241224E+02, -4.246628077030253E-01, -9.283099128537785E-01, -9.293074699302334E-02,
2461129.958333333, A.D. 2026-Mar-30 11:00:00.0000, -3.569274966390672E+05,  1.434181635713932E+05,  1.879853279175077E+02, -4.156556214736387E-01, -9.320584162138288E-01, -9.293986933764364E-02,
