date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2017-01-16,1,4.7,618.77,11.85,0.0
2017-01-17,1,4.6,537.49,11.7,0.0
2017-01-18,0,,,,
2017-01-19,0,,,,
2017-01-20,2,4.6,485.335,11.932474080687586,0.0
2017-01-21,0,,,,
2017-01-22,0,,,,
2017-01-23,2,4.8,572.84,12.176434862436484,0.0
2017-01-24,0,,,,
2017-01-25,0,,,,
2017-01-26,1,4.5,529.61,11.55,0.0
2017-01-27,1,4.8,353.25,12.0,0.0
2017-01-28,1,4.5,584.96,11.55,0.0
2017-01-29,1,4.5,517.08,11.55,0.0
2017-01-30,0,,,,
2017-01-31,2,5.4,519.36,12.918978441047736,0.0
2017-02-01,0,,,,
2017-02-02,1,4.9,559.62,12.15,0.0
2017-02-03,0,,,,
2017-02-04,2,4.7,550.72,12.026434862436489,0.0
2017-02-05,0,,,,
2017-02-06,1,4.6,537.96,11.7,0.0
2017-02-07,1,5.0,581.31,12.3,0.0
2017-02-08,2,5.1,579.54,12.501496942025229,0.0
2017-02-09,1,4.9,612.57,12.15,0.0
2017-02-10,3,4.5,500.5366666666666,12.027121254719663,2974.857203879989
2017-02-11,1,5.0,496.96,12.3,0.0
2017-02-12,1,4.5,529.4,11.55,0.0
2017-02-13,5,5.1,485.754,12.675516470000789,285.28003401228284
2017-02-14,0,,,,
2017-02-15,2,4.5,490.1,11.851029995663982,0.0
2017-02-16,2,5.3,472.275,12.881879480002064,0.0
2017-02-17,1,4.7,390.8,11.85,0.0
2017-02-18,1,4.6,505.49,11.7,0.0
2017-02-19,2,4.5,554.5450000000001,11.851029995663982,0.0
2017-02-20,1,4.6,662.16,11.7,0.0
2017-02-21,3,6.5,548.01,14.551655144655967,5240.513651220204
2017-02-22,1,4.7,566.16,11.85,0.0
2017-02-23,3,5.1,414.6466666666667,12.565184488590845,2887.9609256029303
2017-02-24,2,6.9,498.06,15.16352092210804,0.0
2017-02-25,1,4.6,402.89,11.7,0.0
2017-02-26,0,,,,
2017-02-27,0,,,,
2017-02-28,0,,,,
2017-03-01,2,4.8,558.035,12.176434862436484,0.0
2017-03-02,1,4.5,610.53,11.55,0.0
2017-03-03,2,4.6,459.645,11.932474080687586,0.0
2017-03-04,2,4.9,538.0999999999999,12.326434862436486,0.0
2017-03-05,0,,,,
2017-03-06,5,5.0,518.624,12.691201906833404,3025.847502605988
2017-03-07,0,,,,
2017-03-08,0,,,,
2017-03-09,0,,,,
2017-03-10,0,,,,
2017-03-11,0,,,,
2017-03-12,1,5.1,584.4,12.45,0.0
2017-03-13,0,,,,
2017-03-14,1,5.1,545.67,12.45,0.0
2017-03-15,0,,,,
2017-03-16,1,5.0,536.75,12.3,0.0
2017-03-17,2,4.9,573.105,12.326434862436486,0.0
2017-03-18,0,,,,
2017-03-19,1,4.5,483.06,11.55,0.0
2017-03-20,3,4.9,563.1633333333334,12.418578117629064,157.06628041605578
2017-03-21,0,,,,
2017-03-22,1,4.5,566.66,11.55,0.0
2017-03-23,1,4.5,318.61,11.55,0.0
2017-03-24,0,,,,
2017-03-25,0,,,,
2017-03-26,1,4.5,494.83,11.55,0.0
2017-03-27,0,,,,
2017-03-28,0,,,,
2017-03-29,0,,,,
2017-03-30,1,4.6,516.82,11.7,0.0
2017-03-31,1,4.5,506.15,11.55,0.0
2017-04-01,1,4.6,377.1,11.7,0.0
2017-04-02,1,4.7,595.95,11.85,0.0
2017-04-03,1,4.6,543.43,11.7,0.0
2017-04-04,0,,,,
2017-04-05,1,4.9,583.91,12.15,0.0
2017-04-06,1,4.6,542.45,11.7,0.0
2017-04-07,2,4.6,504.585,11.932474080687586,0.0
2017-04-08,2,4.9,464.1950000000001,12.281879480002065,0.0
2017-04-09,0,,,,
2017-04-10,2,4.7,526.855,12.026434862436489,0.0
2017-04-11,0,,,,
2017-04-12,1,4.5,458.55,11.55,0.0
2017-04-13,1,5.8,502.06,13.5,0.0
2017-04-14,1,4.6,389.72,11.7,0.0
2017-04-15,1,4.6,533.48,11.7,0.0
2017-04-16,1,4.8,501.35,12.0,0.0
2017-04-17,2,4.5,512.6700000000001,11.851029995663982,0.0
2017-04-18,4,6.0,627.675,13.812590756974007,54.94212749947558
2017-04-19,2,4.8,458.525,12.131879480002064,0.0
2017-04-20,3,4.6,504.63,12.083077438168312,115.1821218570672
2017-04-21,0,,,,
2017-04-22,0,,,,
2017-04-23,1,4.7,530.45,11.85,0.0
2017-04-24,0,,,,
2017-04-25,0,,,,
2017-04-26,3,5.0,556.1633333333333,12.48544053285583,201.92560645521183
2017-04-27,1,4.5,528.77,11.55,0.0
2017-04-28,0,,,,
2017-04-29,0,,,,
